year,cell,doxx,temp,chla,flow,po4x,nh4x,no3x,totn,totp,orgp,orgn,pipx,tocx,tssx,sand,silt,clay,phyt
1991,    92, 0.997E+01, 0.958E+01, 0.909E+00, 0.584E+04, 0.347E+05, 0.658E+05, 0.610E+06, 0.110E+07, 0.590E+05, 0.177E+05, 0.426E+06, 0.656E+04, 0.560E+07, 0.754E+07, 0.178E+06, 0.387E+07, 0.343E+07, 0.656E+05
1992,    92, 0.934E+01, 0.111E+02, 0.848E+00, 0.523E+04, 0.305E+05, 0.588E+05, 0.609E+06, 0.106E+07, 0.521E+05, 0.160E+05, 0.389E+06, 0.562E+04, 0.512E+07, 0.759E+07, 0.249E+06, 0.422E+07, 0.306E+07, 0.548E+05
1993,    92, 0.100E+02, 0.947E+01, 0.669E+00, 0.654E+04, 0.461E+05, 0.720E+05, 0.788E+06, 0.135E+07, 0.754E+05, 0.206E+05, 0.489E+06, 0.872E+04, 0.639E+07, 0.916E+07, 0.238E+06, 0.465E+07, 0.421E+07, 0.541E+05
1994,    92, 0.101E+02, 0.983E+01, 0.483E+00, 0.900E+04, 0.606E+05, 0.925E+05, 0.940E+06, 0.169E+07, 0.103E+06, 0.258E+05, 0.663E+06, 0.163E+05, 0.882E+07, 0.178E+08, 0.382E+06, 0.928E+07, 0.811E+07, 0.537E+05
1995,    92, 0.972E+01, 0.101E+02, 0.558E+00, 0.564E+04, 0.381E+05, 0.738E+05, 0.607E+06, 0.112E+07, 0.684E+05, 0.175E+05, 0.438E+06, 0.129E+05, 0.577E+07, 0.177E+08, 0.552E+06, 0.101E+08, 0.697E+07, 0.389E+05
1996,    92, 0.938E+01, 0.118E+02, 0.471E+00, 0.112E+05, 0.749E+05, 0.108E+06, 0.884E+06, 0.183E+07, 0.134E+06, 0.307E+05, 0.835E+06, 0.285E+05, 0.112E+08, 0.324E+08, 0.699E+06, 0.180E+08, 0.137E+08, 0.650E+05
1997,    92, 0.993E+01, 0.996E+01, 0.465E+00, 0.704E+04, 0.429E+05, 0.738E+05, 0.663E+06, 0.123E+07, 0.704E+05, 0.200E+05, 0.495E+06, 0.751E+04, 0.654E+07, 0.936E+07, 0.273E+06, 0.472E+07, 0.432E+07, 0.404E+05
1998,    92, 0.102E+02, 0.941E+01, 0.448E+00, 0.725E+04, 0.486E+05, 0.846E+05, 0.702E+06, 0.128E+07, 0.783E+05, 0.201E+05, 0.497E+06, 0.960E+04, 0.657E+07, 0.948E+07, 0.159E+06, 0.460E+07, 0.469E+07, 0.401E+05
1999,    92, 0.927E+01, 0.117E+02, 0.461E+00, 0.754E+04, 0.477E+05, 0.813E+05, 0.682E+06, 0.132E+07, 0.108E+06, 0.207E+05, 0.553E+06, 0.398E+05, 0.740E+07, 0.363E+08, 0.592E+06, 0.217E+08, 0.140E+08, 0.429E+05
2000,    92, 0.913E+01, 0.121E+02, 0.464E+00, 0.789E+04, 0.533E+05, 0.848E+05, 0.690E+06, 0.133E+07, 0.998E+05, 0.229E+05, 0.551E+06, 0.236E+05, 0.723E+07, 0.287E+08, 0.774E+06, 0.162E+08, 0.116E+08, 0.453E+05
1991,    61, 0.112E+02, 0.946E+01, 0.887E+01, 0.319E+06, 0.252E+06, 0.319E+07, 0.266E+08, 0.457E+08, 0.162E+07, 0.122E+07, 0.159E+08, 0.142E+06, 0.151E+09, 0.384E+09, 0.390E+06, 0.198E+08, 0.329E+09, 0.349E+08
1992,    61, 0.103E+02, 0.120E+02, 0.101E+02, 0.347E+06, 0.200E+06, 0.317E+07, 0.303E+08, 0.510E+08, 0.164E+07, 0.131E+07, 0.175E+08, 0.129E+06, 0.169E+09, 0.349E+09, 0.353E+06, 0.294E+08, 0.276E+09, 0.431E+08
1993,    61, 0.106E+02, 0.973E+01, 0.760E+01, 0.545E+06, 0.835E+06, 0.587E+07, 0.475E+08, 0.912E+08, 0.428E+07, 0.182E+07, 0.378E+08, 0.163E+07, 0.406E+09, 0.276E+10, 0.114E+07, 0.313E+09, 0.239E+10, 0.511E+08
1994,    61, 0.105E+02, 0.120E+02, 0.791E+01, 0.560E+06, 0.601E+06, 0.480E+07, 0.439E+08, 0.814E+08, 0.311E+07, 0.176E+07, 0.327E+08, 0.745E+06, 0.351E+09, 0.153E+10, 0.686E+06, 0.104E+09, 0.137E+10, 0.547E+08
1995,    61, 0.106E+02, 0.947E+01, 0.659E+01, 0.317E+06, 0.323E+06, 0.326E+07, 0.325E+08, 0.529E+08, 0.172E+07, 0.990E+06, 0.171E+08, 0.407E+06, 0.181E+09, 0.622E+09, 0.109E+07, 0.565E+08, 0.538E+09, 0.258E+08
1996,    61, 0.107E+02, 0.103E+02, 0.656E+01, 0.702E+06, 0.100E+07, 0.645E+07, 0.588E+08, 0.109E+09, 0.473E+07, 0.202E+07, 0.441E+08, 0.171E+07, 0.488E+09, 0.314E+10, 0.258E+07, 0.575E+09, 0.250E+10, 0.570E+08
1997,    61, 0.108E+02, 0.101E+02, 0.736E+01, 0.370E+06, 0.246E+06, 0.338E+07, 0.312E+08, 0.519E+08, 0.160E+07, 0.119E+07, 0.174E+08, 0.162E+06, 0.168E+09, 0.483E+09, 0.339E+06, 0.328E+08, 0.416E+09, 0.336E+08
1998,    61, 0.106E+02, 0.114E+02, 0.929E+01, 0.467E+06, 0.549E+06, 0.445E+07, 0.414E+08, 0.757E+08, 0.303E+07, 0.165E+07, 0.299E+08, 0.827E+06, 0.314E+09, 0.159E+10, 0.567E+06, 0.112E+09, 0.142E+10, 0.536E+08
1999,    61, 0.106E+02, 0.102E+02, 0.681E+01, 0.357E+06, 0.346E+06, 0.365E+07, 0.347E+08, 0.599E+08, 0.217E+07, 0.115E+07, 0.216E+08, 0.671E+06, 0.230E+09, 0.139E+10, 0.246E+07, 0.252E+09, 0.110E+10, 0.301E+08
2000,    61, 0.100E+02, 0.123E+02, 0.916E+01, 0.392E+06, 0.329E+06, 0.377E+07, 0.362E+08, 0.612E+08, 0.229E+07, 0.143E+07, 0.212E+08, 0.532E+06, 0.208E+09, 0.123E+10, 0.143E+07, 0.176E+09, 0.100E+10, 0.443E+08
1991,    86, 0.961E+01, 0.102E+02, 0.977E+00, 0.902E+04, 0.813E+05, 0.132E+06, 0.128E+07, 0.206E+07, 0.131E+06, 0.313E+05, 0.648E+06, 0.188E+05, 0.819E+07, 0.393E+08, 0.382E+06, 0.335E+08, 0.529E+07, 0.109E+06
1992,    86, 0.905E+01, 0.118E+02, 0.108E+01, 0.921E+04, 0.878E+05, 0.129E+06, 0.131E+07, 0.213E+07, 0.136E+06, 0.333E+05, 0.695E+06, 0.150E+05, 0.880E+07, 0.166E+08, 0.369E+06, 0.124E+08, 0.368E+07, 0.123E+06
