year,cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1991,    92, 0.921E+01, 0.411E+04, 0.239E+05, 0.920E+04, 0.221E+04, 0.256E+04, 0.572E+03, 0.233E+04, 0.140E+05, 0.290E+04, 0.313E+05
1992,    92, 0.905E+01, 0.405E+04, 0.192E+05, 0.899E+04, 0.221E+04, 0.247E+04, 0.564E+03, 0.229E+04, 0.137E+05, 0.285E+04, 0.197E+05
1993,    92, 0.963E+01, 0.430E+04, 0.214E+05, 0.969E+04, 0.227E+04, 0.266E+04, 0.589E+03, 0.242E+04, 0.146E+05, 0.301E+04, 0.232E+05
1994,    92, 0.105E+02, 0.466E+04, 0.253E+05, 0.107E+05, 0.237E+04, 0.291E+04, 0.625E+03, 0.261E+04, 0.160E+05, 0.323E+04, 0.295E+05
1995,    92, 0.103E+02, 0.511E+04, 0.284E+05, 0.102E+05, 0.247E+04, 0.234E+04, 0.602E+03, 0.248E+04, 0.150E+05, 0.308E+04, 0.392E+05
1996,    92, 0.133E+02, 0.111E+05, 0.338E+05, 0.141E+05, 0.269E+04, 0.386E+04, 0.749E+03, 0.326E+04, 0.206E+05, 0.401E+04, 0.434E+05
1997,    92, 0.144E+02, 0.916E+04, 0.334E+05, 0.143E+05, 0.269E+04, 0.395E+04, 0.994E+03, 0.372E+04, 0.209E+05, 0.472E+04, 0.407E+05
1998,    92, 0.164E+02, 0.913E+04, 0.316E+05, 0.150E+05, 0.299E+04, 0.500E+04, 0.127E+04, 0.433E+04, 0.230E+05, 0.561E+04, 0.369E+05
1999,    92, 0.183E+02, 0.931E+04, 0.408E+05, 0.146E+05, 0.215E+04, 0.433E+04, 0.135E+04, 0.473E+04, 0.211E+05, 0.608E+04, 0.494E+05
2000,    92, 0.153E+02, 0.890E+04, 0.188E+05, 0.654E+04, 0.637E+04, 0.398E+04, 0.119E+04, 0.329E+04, 0.169E+05, 0.448E+04, 0.133E+05
1991,    61, 0.252E+03, 0.999E+05, 0.221E+06, 0.297E+06, 0.145E+06, 0.574E+05, 0.502E+04, 0.148E+05, 0.500E+06, 0.199E+05, 0.223E+06
1992,    61, 0.251E+03, 0.169E+06, 0.213E+06, 0.336E+06, 0.115E+06, 0.700E+05, 0.477E+04, 0.147E+05, 0.521E+06, 0.195E+05, 0.254E+06
1993,    61, 0.283E+03, 0.185E+06, 0.244E+06, 0.353E+06, 0.912E+05, 0.754E+05, 0.590E+04, 0.150E+05, 0.520E+06, 0.209E+05, 0.286E+06
1994,    61, 0.298E+03, 0.205E+06, 0.267E+06, 0.321E+06, 0.127E+06, 0.576E+05, 0.583E+04, 0.201E+05, 0.506E+06, 0.259E+05, 0.286E+06
1995,    61, 0.283E+03, 0.209E+06, 0.220E+06, 0.379E+06, 0.135E+06, 0.684E+05, 0.471E+04, 0.199E+05, 0.583E+06, 0.246E+05, 0.262E+06
1996,    61, 0.331E+03, 0.255E+06, 0.196E+06, 0.331E+06, 0.147E+06, 0.776E+05, 0.482E+04, 0.262E+05, 0.555E+06, 0.310E+05, 0.334E+06
1997,    61, 0.297E+03, 0.219E+06, 0.203E+06, 0.325E+06, 0.138E+06, 0.481E+05, 0.574E+04, 0.196E+05, 0.510E+06, 0.253E+05, 0.267E+06
1998,    61, 0.309E+03, 0.207E+06, 0.200E+06, 0.297E+06, 0.924E+05, 0.612E+05, 0.607E+04, 0.221E+05, 0.451E+06, 0.282E+05, 0.258E+06
1999,    61, 0.318E+03, 0.194E+06, 0.180E+06, 0.176E+06, 0.152E+06, 0.506E+05, 0.671E+04, 0.162E+05, 0.379E+06, 0.229E+05, 0.239E+06
2000,    61, 0.330E+03, 0.198E+06, 0.170E+06, 0.109E+06, 0.177E+06, 0.477E+05, 0.135E+05, 0.157E+05, 0.333E+06, 0.293E+05, 0.261E+06
1991,    86, 0.578E+02, 0.449E+06, 0.153E+06, 0.597E+05, 0.882E+05, 0.188E+05, 0.604E+04, 0.194E+05, 0.167E+06, 0.255E+05, 0.730E+06
1992,    86, 0.534E+02, 0.493E+06, 0.155E+06, 0.516E+05, 0.111E+06, 0.168E+05, 0.247E+04, 0.145E+05, 0.179E+06, 0.170E+05, 0.782E+06
1993,    86, 0.562E+02, 0.557E+06, 0.173E+06, 0.538E+05, 0.127E+06, 0.165E+05, 0.290E+04, 0.162E+05, 0.197E+06, 0.191E+05, 0.867E+06
1994,    86, 0.633E+02, 0.486E+06, 0.156E+06, 0.607E+05, 0.107E+06, 0.230E+05, 0.344E+04, 0.162E+05, 0.190E+06, 0.197E+05, 0.770E+06
1995,    86, 0.551E+02, 0.538E+06, 0.150E+06, 0.460E+05, 0.126E+06, 0.215E+05, 0.261E+04, 0.165E+05, 0.193E+06, 0.191E+05, 0.826E+06
1996,    86, 0.684E+02, 0.471E+06, 0.166E+06, 0.516E+05, 0.118E+06, 0.276E+05, 0.502E+04, 0.178E+05, 0.197E+06, 0.229E+05, 0.803E+06
1997,    86, 0.557E+02, 0.503E+06, 0.157E+06, 0.454E+05, 0.120E+06, 0.222E+05, 0.488E+04, 0.187E+05, 0.187E+06, 0.236E+05, 0.794E+06
1998,    86, 0.641E+02, 0.562E+06, 0.169E+06, 0.318E+05, 0.127E+06, 0.260E+05, 0.418E+04, 0.176E+05, 0.184E+06, 0.218E+05, 0.902E+06
1999,    86, 0.665E+02, 0.475E+06, 0.167E+06, 0.266E+05, 0.116E+06, 0.233E+05, 0.490E+04, 0.169E+05, 0.166E+06, 0.218E+05, 0.978E+06
2000,    86, 0.705E+02, 0.503E+06, 0.167E+06, 0.296E+05, 0.118E+06, 0.253E+05, 0.622E+04, 0.190E+05, 0.173E+06, 0.252E+05, 0.838E+06
1991,    34, 0.737E+04, 0.422E+07, 0.164E+07, 0.293E+07, 0.664E+07, 0.926E+06, 0.383E+05, 0.685E+05, 0.105E+08, 0.107E+06, 0.594E+07
1992,    34, 0.744E+04, 0.450E+07, 0.195E+07, 0.283E+07, 0.672E+07, 0.838E+06, 0.458E+05, 0.691E+05, 0.104E+08, 0.115E+06, 0.668E+07
1993,    34, 0.794E+04, 0.474E+07, 0.207E+07, 0.267E+07, 0.637E+07, 0.837E+06, 0.404E+05, 0.614E+05, 0.988E+07, 0.102E+06, 0.685E+07
1994,    34, 0.803E+04, 0.508E+07, 0.226E+07, 0.320E+07, 0.544E+07, 0.975E+06, 0.741E+05, 0.563E+05, 0.961E+07, 0.130E+06, 0.791E+07
1995,    34, 0.770E+04, 0.517E+07, 0.194E+07, 0.254E+07, 0.624E+07, 0.862E+06, 0.363E+05, 0.623E+05, 0.965E+07, 0.986E+05, 0.678E+07
