     cell,doxx,temp,chla,flow,po4x,nh4x,no3x,totn,totp,orgp,orgn,pipx,tocx,tssx,sand,silt,clay,phyt
    92, 0.970E+01, 0.105E+02, 0.578E+00, 0.731E+04, 0.477E+05, 0.796E+05, 0.717E+06, 0.133E+07, 0.848E+05, 0.212E+05, 0.534E+06, 0.159E+05, 0.707E+07, 0.176E+08, 0.410E+06, 0.974E+07, 0.741E+07, 0.501E+05
    61, 0.106E+02, 0.107E+02, 0.802E+01, 0.437E+06, 0.468E+06, 0.420E+07, 0.383E+08, 0.680E+08, 0.262E+07, 0.145E+07, 0.255E+08, 0.695E+06, 0.267E+09, 0.135E+10, 0.110E+07, 0.167E+09, 0.114E+10, 0.428E+08
    86, 0.947E+01, 0.107E+02, 0.776E+00, 0.111E+05, 0.111E+06, 0.147E+06, 0.147E+07, 0.242E+07, 0.172E+06, 0.355E+05, 0.805E+06, 0.263E+05, 0.104E+08, 0.545E+08, 0.465E+06, 0.463E+08, 0.760E+07, 0.102E+06
    34, 0.110E+02, 0.111E+02, 0.826E+01, 0.155E+06, 0.573E+06, 0.990E+06, 0.167E+08, 0.236E+08, 0.234E+07, 0.572E+06, 0.585E+07, 0.119E+07, 0.524E+08, 0.127E+10, 0.242E+07, 0.399E+09, 0.854E+09, 0.159E+08
    64, 0.105E+02, 0.105E+02, 0.321E+01, 0.162E+05, 0.341E+05, 0.197E+06, 0.119E+07, 0.246E+07, 0.144E+06, 0.501E+05, 0.108E+07, 0.602E+05, 0.148E+08, 0.984E+08, 0.950E+06, 0.457E+08, 0.511E+08, 0.680E+06
    63, 0.980E+01, 0.106E+02, 0.000E+00, 0.222E+03, 0.810E+03, 0.352E+04, 0.164E+05, 0.372E+05, 0.220E+04, 0.443E+03, 0.173E+05, 0.948E+03, 0.309E+06, 0.789E+06, 0.447E+05, 0.436E+06, 0.308E+06, 0.000E+00
    59, 0.931E+01, 0.109E+02, 0.000E+00, 0.251E+02, 0.679E+02, 0.331E+03, 0.196E+04, 0.340E+04, 0.161E+03, 0.387E+02, 0.111E+04, 0.539E+02, 0.196E+05, 0.697E+05, 0.395E+04, 0.385E+05, 0.272E+05, 0.000E+00
    55, 0.933E+01, 0.106E+02, 0.000E+00, 0.728E+03, 0.221E+04, 0.621E+04, 0.485E+05, 0.870E+05, 0.459E+04, 0.836E+03, 0.322E+05, 0.155E+04, 0.553E+06, 0.209E+07, 0.109E+06, 0.121E+07, 0.768E+06, 0.000E+00
    65, 0.963E+01, 0.105E+02, 0.363E+00, 0.645E+04, 0.399E+05, 0.712E+05, 0.657E+06, 0.126E+07, 0.712E+05, 0.151E+05, 0.533E+06, 0.162E+05, 0.752E+07, 0.276E+08, 0.710E+06, 0.177E+08, 0.916E+07, 0.278E+05
    32, 0.967E+01, 0.106E+02, 0.138E+01, 0.106E+05, 0.537E+05, 0.946E+05, 0.804E+06, 0.168E+07, 0.127E+06, 0.329E+05, 0.783E+06, 0.404E+05, 0.115E+08, 0.820E+08, 0.124E+07, 0.407E+08, 0.399E+08, 0.191E+06
    53, 0.959E+01, 0.101E+02, 0.000E+00, 0.340E+03, 0.705E+03, 0.303E+04, 0.361E+05, 0.533E+05, 0.219E+04, 0.387E+03, 0.141E+05, 0.109E+04, 0.249E+06, 0.110E+07, 0.551E+05, 0.665E+06, 0.382E+06, 0.000E+00
    47, 0.935E+01, 0.102E+02, 0.000E+00, 0.361E+02, 0.294E+02, 0.248E+03, 0.168E+04, 0.288E+04, 0.116E+03, 0.355E+02, 0.950E+03, 0.515E+02, 0.165E+05, 0.609E+05, 0.305E+04, 0.367E+05, 0.211E+05, 0.000E+00
    81, 0.997E+01, 0.103E+02, 0.000E+00, 0.418E+03, 0.157E+04, 0.521E+04, 0.543E+05, 0.852E+05, 0.416E+04, 0.684E+03, 0.257E+05, 0.190E+04, 0.456E+06, 0.177E+07, 0.808E+05, 0.104E+07, 0.648E+06, 0.000E+00
    82, 0.959E+01, 0.101E+02, 0.000E+00, 0.105E+04, 0.330E+04, 0.849E+04, 0.800E+05, 0.136E+06, 0.816E+04, 0.125E+04, 0.471E+05, 0.360E+04, 0.825E+06, 0.634E+07, 0.311E+06, 0.379E+07, 0.224E+07, 0.000E+00
    79, 0.947E+01, 0.102E+02, 0.000E+00, 0.345E+03, 0.847E+03, 0.276E+04, 0.278E+05, 0.450E+05, 0.238E+04, 0.387E+03, 0.144E+05, 0.114E+04, 0.253E+06, 0.222E+07, 0.111E+06, 0.134E+07, 0.770E+06, 0.000E+00
    77, 0.956E+01, 0.106E+02, 0.000E+00, 0.175E+04, 0.156E+05, 0.205E+05, 0.178E+06, 0.329E+06, 0.195E+05, 0.279E+04, 0.130E+06, 0.113E+04, 0.192E+07, 0.287E+07, 0.128E+06, 0.167E+07, 0.106E+07, 0.000E+00
    85, 0.974E+01, 0.107E+02, 0.141E+00, 0.735E+04, 0.370E+05, 0.101E+06, 0.570E+06, 0.108E+07, 0.614E+05, 0.162E+05, 0.410E+06, 0.815E+04, 0.566E+07, 0.885E+07, 0.325E+06, 0.467E+07, 0.384E+07, 0.125E+05
