     cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
    92, 0.126E+02, 0.698E+04, 0.277E+05, 0.113E+05, 0.284E+04, 0.341E+04, 0.851E+03, 0.315E+04, 0.176E+05, 0.400E+04, 0.327E+05
    61, 0.295E+03, 0.194E+06, 0.211E+06, 0.292E+06, 0.132E+06, 0.614E+05, 0.631E+04, 0.184E+05, 0.486E+06, 0.248E+05, 0.267E+06
    86, 0.611E+02, 0.504E+06, 0.161E+06, 0.457E+05, 0.116E+06, 0.221E+05, 0.427E+04, 0.173E+05, 0.183E+06, 0.216E+05, 0.829E+06
    34, 0.787E+04, 0.446E+07, 0.204E+07, 0.268E+07, 0.557E+07, 0.930E+06, 0.460E+05, 0.663E+05, 0.918E+07, 0.112E+06, 0.628E+07
    64, 0.451E+04, 0.273E+07, 0.318E+07, 0.193E+07, 0.210E+07, 0.697E+06, 0.751E+05, 0.107E+06, 0.473E+07, 0.182E+06, 0.448E+07
    63, 0.134E+01, 0.692E+03, 0.346E+04, 0.103E+04, 0.387E+02, 0.219E+03, 0.201E+03, 0.491E+03, 0.129E+04, 0.692E+03, 0.173E+04
    59, 0.699E+02, 0.429E+05, 0.488E+05, 0.354E+05, 0.899E+04, 0.143E+05, 0.208E+04, 0.549E+04, 0.587E+05, 0.757E+04, 0.410E+05
    55, 0.171E+02, 0.104E+05, 0.521E+04, 0.173E+04, 0.898E+04, 0.177E+04, 0.389E+03, 0.166E+04, 0.125E+05, 0.205E+04, 0.499E+04
    65, 0.421E+02, 0.262E+05, 0.406E+05, 0.208E+05, 0.336E+05, 0.155E+05, 0.208E+04, 0.493E+04, 0.699E+05, 0.701E+04, 0.671E+05
    32, 0.273E+03, 0.180E+06, 0.327E+05, 0.886E+04, 0.164E+06, 0.184E+05, 0.205E+04, 0.178E+05, 0.191E+06, 0.199E+05, 0.560E+05
    53, 0.741E+01, 0.454E+04, 0.215E+04, 0.139E+04, 0.267E+04, 0.799E+03, 0.240E+03, 0.528E+03, 0.486E+04, 0.768E+03, 0.382E+04
    47, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    81, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    82, 0.160E+02, 0.111E+05, 0.000E+00, 0.000E+00, 0.000E+00, 0.691E+03, 0.000E+00, 0.691E+04, 0.691E+03, 0.691E+04, 0.111E+05
    79, 0.126E+01, 0.654E+03, 0.327E+04, 0.976E+03, 0.366E+02, 0.207E+03, 0.190E+03, 0.464E+03, 0.122E+04, 0.654E+03, 0.163E+04
    77, 0.114E+03, 0.672E+05, 0.124E+06, 0.302E+05, 0.300E+05, 0.275E+05, 0.953E+04, 0.172E+05, 0.877E+05, 0.268E+05, 0.287E+06
    85, 0.936E+02, 0.577E+05, 0.185E+06, 0.106E+06, 0.297E+05, 0.279E+05, 0.396E+04, 0.897E+04, 0.163E+06, 0.129E+05, 0.191E+06
    52, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    56, 0.838E+00, 0.329E+03, 0.308E+04, 0.996E+02, 0.784E+02, 0.422E+03, 0.603E+02, 0.243E+02, 0.600E+03, 0.846E+02, 0.915E+04
    87, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    44, 0.221E+00, 0.115E+03, 0.573E+03, 0.120E+02, 0.994E+01, 0.320E+03, 0.371E+02, 0.909E+02, 0.342E+03, 0.128E+03, 0.287E+03
    41, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    49, 0.494E+00, 0.292E+03, 0.594E+03, 0.575E+03, 0.651E+02, 0.127E+03, 0.204E+02, 0.107E+03, 0.768E+03, 0.128E+03, 0.605E+03
    91, 0.154E+02, 0.799E+04, 0.529E+04, 0.680E+04, 0.115E+05, 0.209E+04, 0.723E+03, 0.144E+04, 0.204E+05, 0.216E+04, 0.161E+05
    51, 0.118E+01, 0.733E+03, 0.159E+04, 0.138E+04, 0.156E+03, 0.302E+03, 0.490E+02, 0.257E+03, 0.184E+04, 0.306E+03, 0.215E+04
    68, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    54, 0.489E+02, 0.278E+05, 0.614E+05, 0.393E+05, 0.222E+05, 0.153E+05, 0.210E+04, 0.962E+04, 0.768E+05, 0.117E+05, 0.566E+05
    33, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
